2022-11-23 02:01:01.829 +0100 CET,0,0
2022-11-23 02:31:36.357 +0100 CET,0,0
2022-11-23 03:00:48.139 +0100 CET,0,0
2022-11-23 03:07:21.967 +0100 CET,8451,7
2022-11-23 03:07:21.97 +0100 CET,8451,7
2022-11-23 03:07:26.957 +0100 CET,0,0
2022-11-23 03:07:36.931 +0100 CET,0,0
2022-11-23 03:09:31.599 +0100 CET,3011,2
2022-11-23 03:09:36.588 +0100 CET,9543,9
2022-11-23 03:09:46.563 +0100 CET,4772,3
2022-11-23 03:09:59.6 +0100 CET,4772,3
2022-11-23 03:09:59.611 +0100 CET,4772,0
2022-11-23 03:10:06.62 +0100 CET,4772,0
2022-11-23 03:10:20.036 +0100 CET,4772,2
2022-11-23 03:10:27.049 +0100 CET,4772,2
2022-11-23 04:05:19.735 +0100 CET,4772,0
2022-11-23 05:00:12.186 +0100 CET,4772,0
2022-11-23 05:55:04.601 +0100 CET,4772,0
2022-11-23 06:49:57.102 +0100 CET,4772,0
2022-11-23 07:44:49.75 +0100 CET,4772,0
2022-11-23 08:00:24.106 +0100 CET,8451,7
2022-11-23 08:07:27.896 +0100 CET,11462,14
2022-11-23 08:11:47.156 +0100 CET,13223,21
2022-11-23 08:16:26.355 +0100 CET,14472,28
2022-11-23 08:21:15.53 +0100 CET,15441,35
2022-11-23 08:26:29.631 +0100 CET,16233,42
2022-11-23 08:30:18.976 +0100 CET,16902,49
2022-11-23 08:34:23.277 +0100 CET,17635,58
2022-11-23 08:39:42.364 +0100 CET,17635,57
2022-11-23 08:52:47.111 +0100 CET,18389,69
2022-11-23 08:54:41.781 +0100 CET,19139,82
2022-11-23 09:01:40.573 +0100 CET,19868,97
2022-11-23 09:06:44.708 +0100 CET,20607,115
2022-11-23 09:10:09.128 +0100 CET,21336,136
2022-11-23 09:14:23.404 +0100 CET,22042,160
2022-11-23 09:18:32.698 +0100 CET,22765,189
2022-11-23 09:19:57.459 +0100 CET,20828,121
2022-11-23 09:22:56.948 +0100 CET,21554,143
2022-11-23 09:26:16.382 +0100 CET,22279,169
2022-11-23 09:29:40.801 +0100 CET,22989,199
2022-11-23 09:34:34.978 +0100 CET,22989,232
2022-11-23 09:36:56.59 +0100 CET,23711,235
2022-11-23 09:40:06.062 +0100 CET,24425,277
2022-11-23 09:41:30.826 +0100 CET,25199,331
2022-11-23 09:42:40.631 +0100 CET,26086,406
2022-11-23 09:44:20.353 +0100 CET,26822,481
2022-11-23 10:21:34.064 +0100 CET,27332,541
2022-11-23 10:29:27.742 +0100 CET,27332,572
2022-11-23 10:37:38.365 +0100 CET,27840,608
2022-11-23 10:45:42.005 +0100 CET,28357,685
2022-11-23 10:47:41.673 +0100 CET,27782,600
2022-11-23 10:48:21.564 +0100 CET,28364,686
2022-11-23 10:48:56.469 +0100 CET,27796,602
2022-11-23 10:49:36.361 +0100 CET,28345,683
2022-11-23 10:50:36.198 +0100 CET,27818,605
2022-11-23 10:51:16.089 +0100 CET,28370,687
2022-11-23 10:56:35.202 +0100 CET,27861,611
2022-11-23 10:58:24.899 +0100 CET,28389,690
2022-11-23 10:59:04.791 +0100 CET,27818,605
2022-11-23 11:00:29.556 +0100 CET,27276,534
2022-11-23 11:02:19.251 +0100 CET,27811,604
2022-11-23 11:04:23.909 +0100 CET,27144,518
2022-11-23 11:07:03.466 +0100 CET,27679,586
2022-11-23 11:08:18.261 +0100 CET,28261,670
2022-11-23 11:09:23.083 +0100 CET,28966,788
2022-11-23 11:09:57.988 +0100 CET,28420,695
2022-11-23 11:10:32.894 +0100 CET,27804,603
2022-11-23 11:10:37.883 +0100 CET,27268,533
2022-11-23 11:11:12.788 +0100 CET,26533,450
2022-11-23 11:12:12.624 +0100 CET,25729,374
2022-11-23 11:12:57.5 +0100 CET,24956,313
2022-11-23 11:13:42.378 +0100 CET,24249,266
2022-11-23 11:14:37.229 +0100 CET,23542,226
2022-11-23 11:15:27.092 +0100 CET,22811,191
2022-11-23 11:18:06.647 +0100 CET,23522,225
2022-11-23 11:19:01.495 +0100 CET,24249,266
2022-11-23 11:20:41.216 +0100 CET,24956,313
2022-11-23 11:23:50.684 +0100 CET,25706,372
2022-11-23 11:24:20.611 +0100 CET,25706,423
2022-11-23 11:26:57.175 +0100 CET,26425,439
2022-11-23 11:27:37.067 +0100 CET,27127,516
2022-11-23 11:29:26.76 +0100 CET,27966,626
2022-11-23 11:29:31.749 +0100 CET,27144,518
2022-11-23 11:29:46.71 +0100 CET,26355,432
2022-11-23 11:31:11.476 +0100 CET,27093,512
2022-11-23 11:31:21.452 +0100 CET,27709,590
2022-11-23 11:31:51.371 +0100 CET,27042,506
2022-11-23 11:34:25.936 +0100 CET,27665,584
2022-11-23 11:34:35.91 +0100 CET,28326,680
2022-11-23 11:34:45.885 +0100 CET,28955,786
2022-11-23 11:35:10.817 +0100 CET,28376,688
2022-11-23 11:35:15.806 +0100 CET,27840,608
2022-11-23 11:35:50.71 +0100 CET,28470,703
2022-11-23 11:36:15.642 +0100 CET,27854,610
2022-11-23 11:36:50.546 +0100 CET,28544,715
2022-11-23 11:36:55.535 +0100 CET,29128,818
2022-11-23 11:37:00.524 +0100 CET,29676,928
2022-11-23 11:37:25.456 +0100 CET,30465,1113
2022-11-23 11:38:05.347 +0100 CET,29634,919
2022-11-23 11:38:20.308 +0100 CET,28905,777
2022-11-23 11:39:40.086 +0100 CET,29480,887
2022-11-23 11:40:14.99 +0100 CET,28899,776
2022-11-23 11:40:39.923 +0100 CET,28306,677
2022-11-23 11:41:59.7 +0100 CET,28927,781
2022-11-23 11:42:34.606 +0100 CET,29470,885
2022-11-23 11:42:44.581 +0100 CET,30065,1015
2022-11-23 11:43:04.528 +0100 CET,29315,854
2022-11-23 11:43:14.503 +0100 CET,29882,973
2022-11-23 11:44:24.309 +0100 CET,30422,1102
2022-11-23 11:44:44.256 +0100 CET,29832,962
2022-11-23 11:44:49.245 +0100 CET,29259,843
2022-11-23 11:45:49.078 +0100 CET,30171,1040
2022-11-23 11:45:59.054 +0100 CET,30738,1185
2022-11-23 11:46:14.015 +0100 CET,29662,925
